fantasy_player_id,fantasy_source_player_id,fantasy_name,fantasy_team,fantasy_team_abbr,fantasy_position,worldcup_player_id,worldcup_name,worldcup_team_code,worldcup_position,worldcup_club,confidence,status,match_method,notes
fifa-fantasy-1,1,Rayan Aït-Nouri,Algeria,ALG,DEF,9f20a97d-a69f-45c4-a07a-d70a6af84275,Rayan Aït Nouri,ALG,Defender,Manchester City,1.000,matched,name+country,exact normalized name
fifa-fantasy-2,2,Ramy Bensebaini,Algeria,ALG,DEF,b4661af0-976b-413c-8e80-abb69d688717,Ramy Bensebaini,ALG,Defender,Borussia Dortmund,1.000,matched,name+country,exact normalized name
fifa-fantasy-3,3,Aïssa Mandi,Algeria,ALG,DEF,53c6eee1-a112-4f1f-b6c6-53e77957f823,Aïssa Mandi,ALG,Defender,Lille,1.000,matched,name+country,exact normalized name
fifa-fantasy-4,4,Mehdi Dorval,Algeria,ALG,DEF,,,,,,0.519,unmatched,name+country,best candidate Mohammed Amoura scored 0.519
fifa-fantasy-5,5,Zinéddine Belaïd,Algeria,ALG,DEF,c52e3065-3b27-4fd8-b63d-f8c31a97bdc8,Zinédine Belaïd,ALG,Defender,JS Kabylie,0.968,matched,name+country,high-confidence fuzzy name
fifa-fantasy-6,6,Sohaib Nair,Algeria,ALG,DEF,,,,,,0.522,unmatched,name+country,best candidate Fares Chaïbi scored 0.522
fifa-fantasy-7,7,Rafik Belghali,Algeria,ALG,DEF,fde0bf20-94ca-4b91-b7c5-a06febc1a1cc,Rafik Belghali,ALG,Defender,Hellas Verona,1.000,matched,name+country,exact normalized name
fifa-fantasy-8,8,Achref Abada,Algeria,ALG,DEF,6ae430f5-b173-4338-a983-68e392a1c098,Achraf Abada,ALG,Defender,USM Alger,0.917,review,name+country,needs human review
fifa-fantasy-2047,2047,Samir Chergui,Algeria,ALG,DEF,9ed67642-3e59-46c0-bf10-3d4148e6d97f,Samir Chergui,ALG,Defender,Paris FC,1.000,matched,name+country,exact normalized name
fifa-fantasy-2048,2048,Mohamed Tougaï,Algeria,ALG,DEF,,,,,,0.769,unmatched,name+country,best candidate Amine Tougai scored 0.769
fifa-fantasy-2066,2066,Jaouen Hadjam,Algeria,ALG,DEF,57edd26a-2fd7-46db-9a56-b179a293599d,Jaouen Hadjam,ALG,Defender,Young Boys,1.000,matched,name+country,exact normalized name
